country,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Average HPI
Spain,ESP,71.5,,69.9,72.9,62,61.9,65.2,62.9,61.5,64.6,63.8,63.2,62.3,65.1,64,65.05714286
Estonia,EST,,53.7,53.3,54.5,51.4,56.78888889,54.9,53.6,53.7,55.6,56.3,56.5,59.4,60.9,60.2,55.77063492
Ethiopia,ETH,,,,,43.9125,43.9125,43.9125,45.6,44.4,45.1,45.7,43,41.8,43.8,41.9,43.9125
Finland,FIN,,76.7,,76.7,75.55,73.9,73.5,74.2,74.4,73.8,74.5,76.6,77.9,78.6,78.1,75.72692308
France,FRA,70.9,65.8,,70.1,62.8,68,69.6,66.5,66.7,64.7,63.6,64.8,66.4,66.7,66.6,66.65714286
Gabon,GAB,,,,,44.25555556,44.25555556,42.6,39.7,38,39.2,46.6,48.3,47.8,47.8,48.3,44.25555556
United Kingdom,GBR,69.8,,68,69.9,69.1,70.3,68.7,68.8,69.2,67.6,65.2,68.2,71,72.3,71.6,69.26428571
Georgia,GEO,,36.8,37.1,41.6,38,41,42,42.5,43.5,42.9,41.2,44.5,44.5,46.6,46.7,42.06428571
Ghana,GHA,,45.4,52.2,49.7,42,46.1,56.1,50.6,49.7,38.6,39.9,45.1,54.8,51.5,51.5,48.08571429
Guinea,GIN,,,,,42.13333333,42.13333333,40.4,36.5,39,34.1,35,36,48.7,60,49.5,42.13333333
Gambia,GMB,,,,,45.82666667,45.96666667,45.96666667,45.96666667,45.96666667,45.96666667,45.96666667,45.96666667,41.2,47.8,47.5,45.82666667
Greece,GRC,60.1,,66.5,,60.4,58.4,53.7,51,47.2,47.6,56.2,53,51.5,61,55.1,55.51538462
Guatemala,GTM,,59,63.3,64.1,64.5,62.9,57.4,58.6,59.8,65.4,64.6,63.6,63.3,61.9,64,62.31428571
Guyana,GUY,,,59.9,,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,56.9,59.9,59.65
"Hong Kong, China",HKG,,55.1,,51.4,54,56.4,54.7,54.8,54.7875,54.6,54.825,55,53.6,55.6,55.1,54.60865385
Honduras,HND,,54,51,54.2,60.3,58.7,49.6,46,47.1,50.6,48.5,56.5,60.2,61.9,59.5,54.15
Croatia,HRV,,,58.2,,54.3,56,53.9,60.3,58.9,53.8,52.1,54.2,53.4,55.4,55,55.45833333
Haiti,HTI,,37.5,,38.5,39.6,37.7,48.4,44.1,46.2,38.9,35.7,33.5,38.2,36.1,37.2,39.35384615
Hungary,HUN,51.9,,49.5,,48.9,47.3,49.2,46.8,49.1,51.8,53.4,54.5,60.7,60,60,52.54615385
Indonesia,IDN,,49.5,51,48.2,54.7,54.6,51.7,53.7,52.9,56,50.4,51.4,51,53.4,52.9,52.24285714
India,IND,,53.5,50.3,51.5,45.2,49.9,46.3,47.2,44.3,44.2,43.4,41.8,40.5,38.2,35.7,45.14285714
Ireland,IRL,,71.4,,75.7,70.5,72.6,70.1,69.6,67.6,70.2,68.3,70.4,70.6,69.6,70.9,70.57692308
Iran,IRN,53.1,,53.4,51.3,46.96666667,46.96666667,47.7,46.1,51.4,46.8,47.5,46.5,47.2,42.8,46.7,48.17380952
Iraq,IRQ,,,,45.9,47.8,50.7,47.3,46.6,47.3,45.4,44.9,44.1,44.6,47.8,47.8,46.68333333
Iceland,ISL,,,,68.9,75.13333333,75.13333333,75.13333333,75.9,75,75.13333333,75,75.1,74.8,75.13333333,75,74.61388889
Israel,ISR,,71.7,68.4,72.6,73.5,73.6,74.3,71.1,73.2,74,70.8,71.6,73.3,69.3,71.3,72.05
Italy,ITA,68.5,,65.7,67.8,63.3,63.5,60.6,58.4,60.1,60.3,58.5,59.5,62,65.2,63.9,62.66428571
Jamaica,JAM,,62.1,,,56.34,56.34,53.7,56.34,57.1,53.1,56.34,56.34,58.9,56.34,58.9,56.82
Jordan,JOR,62.9,,56,49.3,60,55.7,55.4,51.3,51.7,53.3,54,52.7,48.1,46.4,46.3,53.07857143
Japan,JPN,65.2,,62.4,59.1,58.4,60.6,62.6,59.7,59.6,59.2,58.8,59.5,59.1,57.9,58.7,60.05714286
Kazakhstan,KAZ,,54.8,57.2,58.9,53.8,55.1,57.4,57.6,58.4,59.7,59.5,55.3,58.8,60.1,60.6,57.65714286
Kenya,KEN,,42.2,45.8,40.2,42.7,42.6,44.1,45.5,38,49,43.6,44,44.8,46.6,45.8,43.92142857
Kyrgyz Republic,KGZ,,46.4,47,47.4,50.7,50,49.2,52.1,54,52.5,49.1,48.6,56.3,53,55.4,50.83571429
Cambodia,KHM,,35.7,41.6,44.6,41.1,41.4,41.6,39,36.7,38.8,41.6,44.6,45.9,51.2,48.5,42.30714286
South Korea,KOR,,53.3,57.7,53.9,56.5,61.2,69.5,60,59.6,58,57.8,59.7,58.7,58.4,58.7,58.78571429
Kuwait,KWT,,60.8,,,65.9,68,63.8,62.2,64.8,61.8,61.5,59.5,60.9,61,61,62.6
Lao,LAO,,50.8,53.6,50.4,47.9,47.9,47,48.8,47.9,47.9,47.9,47.9,46.2,48.6,48.9,48.69285714
Lebanon,LBN,54.9,46.5,,45.9,52.1,50.3,51.9,45.7,49.8,52.3,51.7,52.7,51.5,51.7,47.7,50.33571429
Liberia,LBR,,,37,42.2,39.9,42,39.9,39.9,39.9,45.7,27,33.5,44.2,41.3,45.6,39.85384615
Libya,LBY,,,,,55.71666667,55.71666667,55.71666667,57.5,55.71666667,55.71666667,56.2,54.3,56.5,54.9,54.9,55.71666667
Sri Lanka,LKA,,43.4,44.1,44.3,42.1,39.8,41.8,42.2,43.6,42.7,46.1,43.01,43.3,44,43.3,43.12214286
Lesotho,LSO,,,,,40.4,40.4,49,40.4,40.4,40.4,40.4,38.1,38,40.4,36.5,40.4
Lithuania,LTU,,59.5,58.1,55.5,54.7,50.7,54.3,57.7,56,61.3,57.1,58.7,62.7,63.1,62.2,57.97142857
Luxembourg,LUX,,,,,69.6,71,71,69.6,71.3,68.9,67,69.7,70.6,72.4,72.4,70.31818182
Latvia,LVA,,47.1,46.7,51.5,46.7,56.16666667,49.7,51.3,50.7,57.3,58.8,59.4,59.8,59,59.5,53.83333333
Morocco,MAR,,,,,50.59,43.8,50.8,49.7,51.4,51.7,51.6,53.9,53.1,49,50.9,50.59
Moldova,MDA,,51,47.7,55,55.5,55.9,57.9,60,57.6,59.2,60.2,55.8,53.3,56.8,56.1,55.85714286
Madagascar,MDG,,39.8,,46.4,38.88888889,38.88888889,43.8,35.5,38.2,36.8,35.9,36.6,40.8,40.7,41.7,39.53675214
Maldives,MDV,,,,,52,52,52,52,52,52,52,52,52,52,52,52
Mexico,MEX,65.8,,65.3,68.3,69.6,68,69.1,73.2,74.4,66.8,62.4,68.2,64.1,65.5,64.7,67.52857143
North Macedonia,MKD,,,44.9,,44.3,41.8,49,46.4,51.9,52,49.8,53.5,52.3,52.4,51.6,49.15833333
Mali,MLI,,40.1,,41.1,39.8,37.6,46.7,43.1,36.8,39.7,45.8,40.2,47.4,44.2,47.3,42.29230769
Malta,MLT,,,,,63.3,57.7,61.5,59.6,63.8,64.5,66.1,65.9,66.8,69.1,67.7,64.18181818
Myanmar,MMR,,,,,43.9,43.9,43.9,44.4,41.8,47.9,42.2,46.2,41.5,44.1,43.1,43.9
Montenegro,MNE,,,52,,48,54.6,52.2,52.2,50.7,52.8,51.2,53,56.1,56.5,55.5,52.9
Mongolia,MNG,,,46.1,44.9,50.53,45.9,50.3,48.9,49.1,48.2,49.8,50.6,53.3,54.6,54.6,49.75615385
Mozambique,MOZ,,45.9,48.3,46.5,46.14,46.14,49.7,46.14,46.14,46.14,45.5,46.14,42.8,46.5,46.2,46.30285714
Mauritania,MRT,,,41.5,42.5,45,47.7,47.8,46.7,42,44.8,39.2,44.7,46.8,43.1,43.7,44.26923077
Mauritius,MUS,,,,,58.15,58.15,54.8,58.15,58.15,56.5,58.15,56.1,61.7,58.8,61,58.15
